Algorithm,Index,Title,Similarity
2. LSA,92,"The Troika of Adult Learners, Lifelong Learning, and Mathematics",0.649
2. LSA,163,international Comparative Studies in Mathematics : Lessons For Improving Students’ Learning,0.638
2. LSA,108,Assessment in Mathematics Education : Large-Scale Assessment and Classroom Assessment,0.629
2. LSA,9,Research on Teaching and Learning Probability,0.613
2. LSA,139,The Proceedings of The 12Th international Congress On Mathematical Education : intellectual and Attitudinal Challenges,0.539
2. LSA,45,The Mathematics Education of Prospective Secondary Teachers Around the World,0.528
2. LSA,142,"Early Algebra : Research into Its Nature, Its Learning, Its Teaching",0.506
2. LSA,230,The Academic Book of the Future,0.502
2. LSA,118,Teaching and Learning About Whole Numbers in Primary School,0.485
2. LSA,159,"Early Geometrical Thinking in the Environment of Patterns, Mosaics and Isometries",0.44
2. LSA,73,The European Higher Education Area : Between Critical Reflections and Future Policies,0.424
2. LSA,62,Mergers and Alliances in Higher Education : international Practice and Emerging Opportunities,0.407
2. LSA,18,"Talent Development in European Higher Education : Honors Programs in The Benelux, Nordic and German-Speaking Countries",0.397
6. BoW,58,Uses of Technology in Lower Secondary Mathematics Education : a Concise Topical Survey,0.759
6. BoW,94,Semiotics in Mathematics Education,0.695
6. BoW,11,Theories in and of Mathematics Education,0.692
6. BoW,337,Transitions in Mathematics Education,0.692
6. BoW,150,The Philosophy of Mathematics Education,0.609
6. BoW,141,Problem Solving in Mathematics Education,0.602
6. BoW,104,Proceedings of The 13Th international Congress On Mathematical Education : Icme-13,0.578
6. BoW,9,Research on Teaching and Learning Probability,0.556
6. BoW,88,"Attitudes, Beliefs, Motivation and Identity in Mathematics Education : An Overview of The Field and Future Directions",0.541
6. BoW,147,Design Science and Its Importance in the German Mathematics Educational Discussion,0.52
6. BoW,108,Assessment in Mathematics Education : Large-Scale Assessment and Classroom Assessment,0.489
6. BoW,230,The Academic Book of the Future,0.455
6. BoW,92,"The Troika of Adult Learners, Lifelong Learning, and Mathematics",0.446
6. BoW,139,The Proceedings of The 12Th international Congress On Mathematical Education : intellectual and Attitudinal Challenges,0.446
6. BoW,73,The European Higher Education Area : Between Critical Reflections and Future Policies,0.426
6. BoW,163,international Comparative Studies in Mathematics : Lessons For Improving Students’ Learning,0.417
6. BoW,62,Mergers and Alliances in Higher Education : international Practice and Emerging Opportunities,0.409
6. BoW,18,"Talent Development in European Higher Education : Honors Programs in The Benelux, Nordic and German-Speaking Countries",0.394
6. BoW,118,Teaching and Learning About Whole Numbers in Primary School,0.39
6. BoW,142,"Early Algebra : Research into Its Nature, Its Learning, Its Teaching",0.39
6. BoW,159,"Early Geometrical Thinking in the Environment of Patterns, Mosaics and Isometries",0.361
6. BoW,45,The Mathematics Education of Prospective Secondary Teachers Around the World,0.349
6. BoW,157,Berufliche Passagen Im Lebenslauf : Berufsbildungs- Und Transitionsforschung in Der Schweiz,0.344
6. BoW,54,"Bridging Educational Leadership, Curriculum Theory and Didaktik : Non-Affirmative Theory of Education",0.327
6. BoW,237,"The Crisis For Young People : Generational inequalities in Education, Work, Housing and Welfare",0.323
9. FastText,9,Research on Teaching and Learning Probability,0.9980000257492065
9. FastText,11,Theories in and of Mathematics Education,0.9980000257492065
9. FastText,141,Problem Solving in Mathematics Education,0.996999979019165
9. FastText,337,Transitions in Mathematics Education,0.9950000047683716
9. FastText,88,"Attitudes, Beliefs, Motivation and Identity in Mathematics Education : An Overview of The Field and Future Directions",0.9890000224113464
9. FastText,62,Mergers and Alliances in Higher Education : international Practice and Emerging Opportunities,0.9869999885559082
9. FastText,150,The Philosophy of Mathematics Education,0.9869999885559082
9. FastText,54,"Bridging Educational Leadership, Curriculum Theory and Didaktik : Non-Affirmative Theory of Education",0.9869999885559082
9. FastText,86,25 Years of Transformations of Higher Education Systems in Post-Soviet Countries : Reform and Continuity,0.9860000014305115
9. FastText,118,Teaching and Learning About Whole Numbers in Primary School,0.9850000143051147
9. FastText,94,Semiotics in Mathematics Education,0.9850000143051147
9. FastText,163,international Comparative Studies in Mathematics : Lessons For Improving Students’ Learning,0.9819999933242798
9. FastText,147,Design Science and Its Importance in the German Mathematics Educational Discussion,0.9810000061988831
9. FastText,17,Nordic Mediation Research,0.9800000190734863
9. FastText,237,"The Crisis For Young People : Generational inequalities in Education, Work, Housing and Welfare",0.9760000109672546
9. FastText,230,The Academic Book of the Future,0.9739999771118164
9. FastText,104,Proceedings of The 13Th international Congress On Mathematical Education : Icme-13,0.9739999771118164
9. FastText,58,Uses of Technology in Lower Secondary Mathematics Education : a Concise Topical Survey,0.9729999899864197
9. FastText,212,a Philosophy of Israel Education : a Relational Approach,0.9710000157356262
9. FastText,92,"The Troika of Adult Learners, Lifelong Learning, and Mathematics",0.9700000286102295
9. FastText,73,The European Higher Education Area : Between Critical Reflections and Future Policies,0.968999981880188
9. FastText,18,"Talent Development in European Higher Education : Honors Programs in The Benelux, Nordic and German-Speaking Countries",0.9679999947547913
9. FastText,167,Global Perspectives On Recognising Non-Formal and informal Learning : Why Recognition Matters (Volume 21.0),0.9649999737739563
9. FastText,157,Berufliche Passagen Im Lebenslauf : Berufsbildungs- Und Transitionsforschung in Der Schweiz,0.9639999866485596
9. FastText,287,Becoming a World-Class University : The Case of King Abdulaziz University,0.9620000123977661
9. FastText,96,Nanoinformatics,0.9580000042915344
9. FastText,142,"Early Algebra : Research into Its Nature, Its Learning, Its Teaching",0.9559999704360962
9. FastText,51,Protest Movements in Asylum and Deportation,0.9539999961853027
9. FastText,90,Impact of Information Society Research in the Global South,0.9520000219345093
9. FastText,225,"History Education and Conflict Transformation : Social Psychological Theories, History Teaching and Reconciliation",0.9509999752044678
9. FastText,335,"Protecting The Rights of People With Autism in The Fields of Education and Employment : international, European and National Perspectives",0.9509999752044678
9. FastText,129,Migration in The Southern Balkans : From Ottoman Territory To Globalized Nation States,0.949999988079071
9. FastText,139,The Proceedings of The 12Th international Congress On Mathematical Education : intellectual and Attitudinal Challenges,0.9490000009536743
9. FastText,108,Assessment in Mathematics Education : Large-Scale Assessment and Classroom Assessment,0.9470000267028809
9. FastText,76,Re-engineering the Uptake of ICT in Schools,0.9419999718666077
9. FastText,27,"Low-Cost Methods for Molecular Characterization of Mutant Plants: Tissue Desiccation, DNA Extraction and Mutation Discovery: Protocols",0.9399999976158142
9. FastText,29,Mercury Pollution in Minamata,0.9350000023841858
9. FastText,24,Biodiversity Conservation and Phylogenetic Systematics : Preserving Our Evolutionary Heritage in An Extinction Crisis (Volume 14.0),0.9300000071525574
9. FastText,49,"Symbiotic interaction : 5Th international Workshop, Symbiotic 2016, Padua, Italy, September 29–30, 2016, Revised Selected Papers",0.9290000200271606
9. FastText,346,Anti-fragile ICT Systems (Volume 1.0),0.9279999732971191
9. FastText,35,"Communicating, Networking: Interacting: The International Year of Global Understanding - IYGU",0.9269999861717224
9. FastText,181,inter-Group Relations and Migrant integration in European Cities : Changing Neighbourhoods,0.9229999780654907
9. FastText,109,Advances in Proof-Theoretic Semantics (Volume 43.0),0.9229999780654907
9. FastText,392,Communicative Figurations : Transforming Communications in Times of Deep Mediatization,0.9210000038146973
9. FastText,178,UKrainian Migration To The European Union : Lessons From Migration Studies,0.9200000166893005
9. FastText,182,Cyber-Physical Systems of Systems: Foundations – A Conceptual Model and Some Derivations: The AMADEOS Legacy,0.9169999957084656
9. FastText,56,"Error-Correction Coding and Decoding : Bounds, Codes, Decoders, Analysis and Applications",0.9160000085830688
9. FastText,251,Multiculturalism and Conflict Reconciliation in the Asia-Pacific,0.9150000214576721
9. FastText,146,Digitalisierung : Bildung | Technik | innovation,0.9110000133514404
9. FastText,198,Russia'S Turn To The East : Domestic Policymaking and Regional Cooperation,0.9110000133514404
9. FastText,97,"Reality Lost : Markets of Attention, Misinformation and Manipulation",0.9100000262260437
9. FastText,159,"Early Geometrical Thinking in the Environment of Patterns, Mosaics and Isometries",0.9089999794960022
9. FastText,299,Fallibility At Work : Rethinking Excellence and Error in organizations,0.906000018119812
9. FastText,266,Entrepreneurial Cognition : Exploring The Mindset of Entrepreneurs,0.9049999713897705
9. FastText,52,Programming For Computations - Python : a Gentle introduction To Numerical Simulations With Python (Volume 15.0),0.9010000228881836
9. FastText,122,"integration Processes and Policies in Europe : Contexts, Levels and Actors",0.8999999761581421
9. FastText,294,Global Health Collaboration : Challenges and Lessons,0.8989999890327454
9. FastText,134,Situating Children of Migrants Across Borders and origins : a Methodological Overview,0.8989999890327454
9. FastText,203,Rising Powers and Peacebuilding : Breaking The Mold?,0.8989999890327454
9. FastText,127,Computing Characterizations of Drugs for Ion Channels and Receptors Using Markov Models (Volume 111.0),0.8989999890327454
10. GloVe,11,Theories in and of Mathematics Education,1.0
10. GloVe,93,Optics in Our Time,0.997
10. GloVe,159,"Early Geometrical Thinking in the Environment of Patterns, Mosaics and Isometries",0.996
10. GloVe,208,Living with Disfigurement in Early Medieval Europe,0.993
10. GloVe,195,Pragmatic Philanthropy : Asian Charity Explained,0.992
10. GloVe,290,Enabling Things to Talk,0.991
10. GloVe,197,New Frontiers in Social Innovation Research,0.991
10. GloVe,7,Advances in Production Technology,0.991
10. GloVe,57,Infrastructure and Economic Growth in Asia,0.991
10. GloVe,71,Innovations in Quantitative Risk Management (Volume 99.0),0.991
10. GloVe,141,Problem Solving in Mathematics Education,0.991
10. GloVe,171,Mhealth innovation in Asia : Grassroots Challenges and Practical interventions,0.99
10. GloVe,46,Stochastics of Environmental and Financial Economics (Volume 138.0),0.989
10. GloVe,92,"The Troika of Adult Learners, Lifelong Learning, and Mathematics",0.989
10. GloVe,102,The Handbook of Salutogenesis,0.989
10. GloVe,323,Ecological Risk Assessment for Chlorpyrifos in Terrestrial and Aquatic Systems in the United States,0.989
10. GloVe,359,Foundations of Trusted Autonomy,0.989
10. GloVe,360,Reconsidering Constitutional Formation Ii Decisive Constitutional Normativity : From Old Liberties To New Precedence (Volume 12.0),0.988
10. GloVe,230,The Academic Book of the Future,0.988
10. GloVe,147,Design Science and Its Importance in the German Mathematics Educational Discussion,0.988
10. GloVe,154,"Micro-, Meso- and Macro-Connectomics of the Brain",0.988
10. GloVe,352,"Micro-, Meso- and Macro-Dynamics of the Brain",0.988
10. GloVe,33,"Education and Skills For inclusive Growth, Green Jobs and The Greening of Economies in Asia : Case Study Summaries of india, indonesia, Sri Lanka and Viet Nam (Volume 27.0)",0.987
10. GloVe,251,Multiculturalism and Conflict Reconciliation in the Asia-Pacific,0.986
10. GloVe,152,intertwingled : The Work and influence of Ted Nelson,0.986
10. GloVe,109,Advances in Proof-Theoretic Semantics (Volume 43.0),0.984
10. GloVe,118,Teaching and Learning About Whole Numbers in Primary School,0.984
10. GloVe,88,"Attitudes, Beliefs, Motivation and Identity in Mathematics Education : An Overview of The Field and Future Directions",0.983
10. GloVe,279,"Agile Processes in Software Engineering and Extreme Programming: 17th International Conference, XP 2016, Edinburgh, UK, May 24-27, 2016, Proceedings (Volume 251.0)",0.981
10. GloVe,18,"Talent Development in European Higher Education : Honors Programs in The Benelux, Nordic and German-Speaking Countries",0.981
10. GloVe,106,"Protocols for Pre-Field Screening of Mutants for Salt Tolerance in Rice, Wheat and Barley",0.981
10. GloVe,27,"Low-Cost Methods for Molecular Characterization of Mutant Plants: Tissue Desiccation, DNA Extraction and Mutation Discovery: Protocols",0.981
10. GloVe,242,"Charismatic Christianity in Finland, Norway, and Sweden : Case Studies in Historical and Contemporary Developments",0.98
10. GloVe,335,"Protecting The Rights of People With Autism in The Fields of Education and Employment : international, European and National Perspectives",0.977
10. GloVe,357,"Melting Hadrons, Boiling Quarks: From Hagedorn Temperature to Ultra-Relativistic Heavy-Ion Collisions at CERN: With a Tribute to Rolf Hagedorn",0.976
10. GloVe,127,Computing Characterizations of Drugs for Ion Channels and Receptors Using Markov Models (Volume 111.0),0.975
10. GloVe,183,Who Will Be The Next President? : a Guide To The U.S. Presidential Election System,0.975
10. GloVe,76,Re-engineering the Uptake of ICT in Schools,0.974
10. GloVe,399,Contemporary Turkey at a Glance : Interdisciplinary Perspectives on Local and Translocal Dynamics,0.972
10. GloVe,31,Second Assessment of Climate Change for the Baltic Sea Basin,0.97
10. GloVe,182,Cyber-Physical Systems of Systems: Foundations – A Conceptual Model and Some Derivations: The AMADEOS Legacy,0.969
10. GloVe,30,Limits To The European Union’S Normative Power in a Post-Conflict Society : Eulex and Peacebuilding in Kosovo,0.968
10. GloVe,355,"Principles of Security and Trust : 7th International Conference, POST 2018, Held as Part of the European Joint Conferences on Theory and Practice of Software, ETAPS 2018, Thessaloniki, Greece, April 14-20, 2018, Proceedings",0.968
10. GloVe,340,"Foundations of Software Science and Computation Structures : 21st International Conference, FOSSACS 2018, Held as Part of the European Joint Conferences on Theory and Practice of Software, ETAPS 2018, Thessaloniki, Greece, April 14–20, 2018. Proceedings",0.968
10. GloVe,90,Impact of Information Society Research in the Global South,0.968
10. GloVe,150,The Philosophy of Mathematics Education,0.968
10. GloVe,187,Taking Stock of Industrial Ecology,0.968
10. GloVe,350,The Essence of Software Engineering,0.968
10. GloVe,184,Practical Economics : Economic Transformation and Government Reform in Georgia 2004–2012,0.967
10. GloVe,297,Governance For Drought Resilience : Land and Water Drought Management in Europe,0.967
10. GloVe,243,The Early Years : Child Well-Being and The Role of Public Policy,0.967
10. GloVe,310,Executing Magic in the Modern Era,0.967
10. GloVe,1,Environmental Governance of the Baltic Sea (Volume 10.0),0.967
10. GloVe,180,The Physics of the B Factories,0.967
10. GloVe,252,"One Hundred Years of Chemical Warfare : Research, Deployment, Consequences",0.966
10. GloVe,277,Vergleichsweise Menschlich? : Ambulante Sanktionen Als Alternative Zur Freiheitsentziehung Aus Europäischer Perspektive,0.966
10. GloVe,306,"Capital Punishment and the Criminal Corpse in Scotland, 1740–1834",0.966
10. GloVe,50,Safer Healthcare : Strategies For The Real World,0.965
10. GloVe,231,"Microfinance, Eu Structural Funds and Capacity Building For Managing Authorities : a Comparative Analysis of European Convergence Regions",0.965
10. GloVe,201,Feeling Gender : a Generational and Psychosocial Approach,0.965
10. GloVe,62,Mergers and Alliances in Higher Education : international Practice and Emerging Opportunities,0.964
10. GloVe,59,Social Innovations in the Urban Context,0.964
10. GloVe,217,Outsourcing Legal Aid in the Nordic Welfare States,0.964
10. GloVe,212,a Philosophy of Israel Education : a Relational Approach,0.964
10. GloVe,248,The Golden and Ghoulish Age of the Gibbet in Britain,0.964
10. GloVe,32,Advances in Discrete Differential Geometry,0.962
10. GloVe,41,Housing Market Dynamics in Africa,0.962
10. GloVe,94,Semiotics in Mathematics Education,0.962
10. GloVe,101,Stem Cells in Neuroendocrinology,0.962
10. GloVe,170,Nicotinic Acetylcholine Receptor Signaling in Neuroprotection,0.962
10. GloVe,337,Transitions in Mathematics Education,0.962
10. GloVe,156,"Habitats and Biota of the Gulf of Mexico: Before the Deepwater Horizon Oil Spill: Volume 1: Water Quality, Sediments, Sediment Contaminants, Oil and Gas Seeps, Coastal Habitats, Offshore Plankton and Benthos, and Shellfish",0.962
10. GloVe,249,"The Third Sector As a Renewable Resource For Europe : Concepts, Impacts, Challenges and Opportunities",0.962
10. GloVe,366,A History of Self-Harm in Britain,0.961
10. GloVe,6,"Socioeconomic and Environmental Implications of Agricultural Residue Burning : a Case Study of Punjab, india",0.961
10. GloVe,122,"integration Processes and Policies in Europe : Contexts, Levels and Actors",0.96
10. GloVe,305,Energy Poverty : (Dis)Assembling Europe's Infrastructural Divide,0.96
10. GloVe,307,Psychiatry and Decolonisation in Uganda,0.959
10. GloVe,211,Animals and the Shaping of Modern Medicine,0.959
10. GloVe,172,Happiness Is The Wrong Metric : a Liberal Communitarian Response To Populism,0.959
10. GloVe,9,Research on Teaching and Learning Probability,0.959
10. GloVe,128,"Physiology, Psychoacoustics and Cognition in Normal and Impaired Hearing",0.959
10. GloVe,394,Becoming Citizens in a Changing World : IEA International Civic and Citizenship Education Study 2016 International Report,0.958
10. GloVe,375,The Ethics of Educational Healthcare Placements in Low and Middle income Countries : First Do No Harm?,0.958
10. GloVe,373,Fungal Disease in Britain and the United States 1850–2000,0.958
10. GloVe,13,Dignity in The 21St Century : Middle East and West,0.957
10. GloVe,34,Contested Childhoods : Growing Up in Migrancy,0.957
10. GloVe,84,Formalizing The Shadow Economy in Serbia : Policy Measures and Growth Effects,0.957
10. GloVe,108,Assessment in Mathematics Education : Large-Scale Assessment and Classroom Assessment,0.957
10. GloVe,175,Pharmacovigilance in The European Union : Practical Implementation Across Member States,0.957
10. GloVe,132,"Computer and information Sciences : 31St international Symposium, Iscis 2016, Kraków, Poland, October 27–28, 2016, Proceedings (Volume 659.0)",0.956
10. GloVe,280,"Programming Languages and Systems : 27th European Symposium on Programming, ESOP 2018, Held as Part of the European Joint Conferences on Theory and Practice of Software, ETAPS 2018, Thessaloniki, Greece, April 14-20, 2018, Proceedings",0.955
10. GloVe,163,international Comparative Studies in Mathematics : Lessons For Improving Students’ Learning,0.955
10. GloVe,268,South-North Migration of EU Citizens in Times of Crisis,0.955
10. GloVe,97,"Reality Lost : Markets of Attention, Misinformation and Manipulation",0.954
10. GloVe,286,Solar Particle Radiation Storms Forecasting and Analysis : The Hesperia Horizon 2020 Project and Beyond (Volume 444.0),0.953
10. GloVe,223,Moral Reasoning At Work : Rethinking Ethics in organizations,0.953
10. GloVe,113,"Proceedings of the International Conference on Social Modeling and Simulation, plus Econophysics Colloquium 2014",0.953
10. GloVe,304,Investigating the Body in the Victorian Asylum,0.953
10. GloVe,371,Young People's Perceptions of Europe in a Time of Change : IEA International Civic and Citizenship Education Study 2016 European Report,0.953
10. GloVe,295,Asian Century… On a Knife-Edge : a 360 Degree Analysis of Asia'S Recent Economic Development,0.953
10. GloVe,326,Linked Open Data -- Creating Knowledge Out of Interlinked Data : Results of the LOD2 Project,0.953
10. GloVe,58,Uses of Technology in Lower Secondary Mathematics Education : a Concise Topical Survey,0.953
10. GloVe,239,"The Economics of The Audiovisual industry : Financing Tv, Film and Web",0.952
10. GloVe,376,"The Economy as a Complex Spatial System : Macro, Meso and Micro Perspectives",0.952
10. GloVe,332,Cognitive Supervision for Robot-Assisted Minimally Invasive Laser Surgery,0.951
10. GloVe,220,Retirement Home? Ageing Migrant Workers in France and the Question of Return,0.951
10. GloVe,298,The Pathologisation of Homosexuality in Fascist Italy,0.951
10. GloVe,328,"Fundamental Approaches to Software Engineering : 21st International Conference, FASE 2018, Held as Part of the European Joint Conferences on Theory and Practice of Software, ETAPS 2018, Thessaloniki, Greece, April 14-20, 2018, Proceedings",0.951
10. GloVe,380,"Migration, Gender and Social Justice : Perspectives on Human Insecurity",0.951
10. GloVe,72,Managing The Complexity of Critical infrastructures : a Modelling and Simulation Approach (Volume 90.0),0.951
10. GloVe,263,River Basin Development and Human Rights in Eastern Africa : A Policy Crossroads,0.951
10. GloVe,269,S-BPM in the Production Industry : A Stakeholder Approach,0.951
10. GloVe,246,Synchronized Factories : Latin America and the Caribbean in the Era of Global Value Chains,0.951
5. BERT,58,Uses of Technology in Lower Secondary Mathematics Education : a Concise Topical Survey,0.9070000052452087
5. BERT,11,Theories in and of Mathematics Education,0.6000000238418579
5. BERT,45,The Mathematics Education of Prospective Secondary Teachers Around the World,0.5929999947547913
5. BERT,337,Transitions in Mathematics Education,0.5770000219345093
5. BERT,118,Teaching and Learning About Whole Numbers in Primary School,0.5759999752044678
5. BERT,9,Research on Teaching and Learning Probability,0.5619999766349792
5. BERT,141,Problem Solving in Mathematics Education,0.5410000085830688
5. BERT,142,"Early Algebra : Research into Its Nature, Its Learning, Its Teaching",0.5410000085830688
5. BERT,108,Assessment in Mathematics Education : Large-Scale Assessment and Classroom Assessment,0.5170000195503235
5. BERT,94,Semiotics in Mathematics Education,0.5170000195503235
5. BERT,150,The Philosophy of Mathematics Education,0.5049999952316284
5. BERT,147,Design Science and Its Importance in the German Mathematics Educational Discussion,0.5
5. BERT,88,"Attitudes, Beliefs, Motivation and Identity in Mathematics Education : An Overview of The Field and Future Directions",0.4959999918937683
5. BERT,104,Proceedings of The 13Th international Congress On Mathematical Education : Icme-13,0.49300000071525574
5. BERT,92,"The Troika of Adult Learners, Lifelong Learning, and Mathematics",0.48399999737739563
5. BERT,139,The Proceedings of The 12Th international Congress On Mathematical Education : intellectual and Attitudinal Challenges,0.4749999940395355
5. BERT,76,Re-engineering the Uptake of ICT in Schools,0.4749999940395355
5. BERT,159,"Early Geometrical Thinking in the Environment of Patterns, Mosaics and Isometries",0.4659999907016754
